It took 23.9388029575 seconds to calculate the Mandelbrot graph.
It took 0.235138893127 seconds to dump the image.
         558867 function calls (553552 primitive calls) in 24.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9210    0.004    0.000    0.004    0.000 {getattr}
        1    0.001    0.001    0.004    0.004 lines.py:4(<module>)
        1    0.004    0.004    0.004    0.004 _layoutbox.py:17(<module>)
        1    0.003    0.003    0.004    0.004 case.py:1(<module>)
       79    0.000    0.000    0.004    0.000 docstring.py:113(dedent_interpd)
      144    0.000    0.000    0.004    0.000 transforms.py:2474(transform_affine)
        1    0.004    0.004    0.004    0.004 shutil.py:5(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:99(<module>)
      237    0.002    0.000    0.004    0.000 font_manager.py:1130(score_family)
       14    0.000    0.000    0.004    0.000 axis.py:604(_get_tick2line)
      248    0.000    0.000    0.004    0.000 fromnumeric.py:2083(any)
      472    0.000    0.000    0.004    0.000 re.py:148(sub)
        1    0.001    0.001    0.004    0.004 dviread.py:19(<module>)
        1    0.001    0.001    0.004    0.004 axis.py:3(<module>)
       91    0.001    0.000    0.004    0.000 font_manager.py:670(__init__)
       14    0.000    0.000    0.003    0.000 axis.py:589(_get_tick1line)
       62    0.002    0.000    0.003    0.000 function_base.py:37(linspace)
        1    0.001    0.001    0.003    0.003 util.py:5(<module>)
      881    0.001    0.000    0.003    0.000 numeric.py:469(asarray)
  224/152    0.001    0.000    0.003    0.000 transforms.py:2498(get_affine)
       14    0.000    0.000    0.003    0.000 axis.py:479(_get_tick2line)
        1    0.001    0.001    0.003    0.003 format.py:156(<module>)
       57    0.000    0.000    0.003    0.000 linecache.py:13(getline)
      252    0.001    0.000    0.003    0.000 markers.py:202(_recache)
       20    0.000    0.000    0.003    0.000 pyparsing.py:4669(parseImpl)
       57    0.000    0.000    0.003    0.000 linecache.py:33(getlines)
       10    0.000    0.000    0.003    0.000 pyparsing.py:3124(__init__)
       28    0.000    0.000    0.003    0.000 lines.py:950(get_path)
        6    0.000    0.000    0.003    0.001 linecache.py:72(updatecache)
 1253/491    0.003    0.000    0.003    0.000 sre_parse.py:152(getwidth)
      696    0.001    0.000    0.003    0.000 abc.py:128(__instancecheck__)
        1    0.001    0.001    0.003    0.003 colors.py:45(<module>)
       12    0.000    0.000    0.003    0.000 patches.py:507(draw)
      605    0.002    0.000    0.003    0.000 inspect.py:750(getargs)
        1    0.000    0.000    0.003    0.003 __init__.py:22(pylab_setup)
        1    0.001    0.001    0.003    0.003 numerictypes.py:81(<module>)
25469/24989    0.003    0.000    0.003    0.000 {len}
       93    0.000    0.000    0.003    0.000 path.py:101(__init__)
        1    0.003    0.003    0.003    0.003 rrule.py:7(<module>)
        1    0.001    0.001    0.003    0.003 pyplot.py:2256(_setup_pyplot_info_docstrings)
        6    0.003    0.000    0.003    0.000 {method 'readlines' of 'file' objects}
    17204    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       14    0.000    0.000    0.003    0.000 axis.py:1357(_copy_tick_props)
        1    0.002    0.002    0.003    0.003 fancy_getopt.py:9(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:1789(inner)
    12942    0.003    0.000    0.003    0.000 {method 'startswith' of 'unicode' objects}
      186    0.002    0.000    0.003    0.000 artist.py:87(__init__)
        6    0.000    0.000    0.003    0.000 transforms.py:740(union)
        1    0.000    0.000    0.003    0.003 _axes.py:5362(imshow)
       39    0.000    0.000    0.003    0.000 __init__.py:1667(param)
      131    0.001    0.000    0.003    0.000 transforms.py:2069(scale)
        1    0.002    0.002    0.003    0.003 __init__.py:86(<module>)
        1    0.002    0.002    0.003    0.003 io.py:34(<module>)
        1    0.001    0.001    0.003    0.003 spawn.py:7(<module>)
       63    0.000    0.000    0.003    0.000 text.py:129(__init__)
       16    0.000    0.000    0.003    0.000 axis.py:770(_set_scale)
      272    0.001    0.000    0.003    0.000 function_base.py:438(add_newdoc)
       18    0.000    0.000    0.003    0.000 pyparsing.py:4762(parseImpl)
       16    0.000    0.000    0.003    0.000 scale.py:68(set_default_locators_and_formatters)
        1    0.000    0.000    0.003    0.003 decoder.py:2(<module>)
       14    0.000    0.000    0.002    0.000 axis.py:435(_get_text1)
      411    0.001    0.000    0.002    0.000 copy.py:306(_reconstruct)
       21    0.000    0.000    0.002    0.000 pyparsing.py:1512(setParseAction)
      444    0.001    0.000    0.002    0.000 artist.py:66(_stale_axes_callback)
        1    0.002    0.002    0.002    0.002 heapq.py:31(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
        1    0.001    0.001    0.002    0.002 tz.py:9(<module>)
       20    0.000    0.000    0.002    0.000 pyparsing.py:4830(parseImpl)
     6069    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _base.py:617(_init_axis)
       72    0.000    0.000    0.002    0.000 font_manager.py:1024(get)
        1    0.002    0.002    0.002    0.002 image.py:5(<module>)
        1    0.000    0.000    0.002    0.002 fractions.py:4(<module>)
       36    0.000    0.000    0.002    0.000 transforms.py:2831(get_transformed_points_and_affine)
       12    0.000    0.000    0.002    0.000 axis.py:801(cla)
      117    0.002    0.000    0.002    0.000 {posix.stat}
        1    0.000    0.000    0.002    0.002 traceback.py:272(format_stack)
       31    0.000    0.000    0.002    0.000 patches.py:194(get_transform)
       86    0.000    0.000    0.002    0.000 backend_bases.py:787(new_gc)
      108    0.000    0.000    0.002    0.000 text.py:854(get_prop_tup)
       22    0.000    0.000    0.002    0.000 abc.py:86(__new__)
       32    0.002    0.000    0.002    0.000 {dir}
       36    0.000    0.000    0.002    0.000 transforms.py:2817(_revalidate)
     3001    0.001    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
       15    0.000    0.000    0.002    0.000 artist.py:650(set_clip_path)
      224    0.000    0.000    0.002    0.000 transforms.py:131(invalidate)
      434    0.001    0.000    0.002    0.000 transforms.py:1912(__init__)
       86    0.001    0.000    0.002    0.000 backend_bases.py:849(__init__)
       14    0.000    0.000    0.002    0.000 axis.py:559(_get_text1)
     2124    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       93    0.001    0.000    0.002    0.000 path.py:198(_update_values)
        1    0.000    0.000    0.002    0.002 pyparsing.py:5826(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:5789(_makeTags)
        1    0.002    0.002    0.002    0.002 hashlib.py:56(<module>)
       42    0.000    0.000    0.002    0.000 lines.py:1238(update_from)
        1    0.002    0.002    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
       84    0.000    0.000    0.002    0.000 lines.py:1170(set_markerfacecolor)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
      317    0.001    0.000    0.002    0.000 font_manager.py:716(__hash__)
       36    0.000    0.000    0.002    0.000 backend_agg.py:125(draw_markers)
        1    0.001    0.001    0.002    0.002 transforms.py:30(<module>)
        1    0.000    0.000    0.002    0.002 ssl.py:89(<module>)
        1    0.001    0.001    0.002    0.002 scanner.py:2(<module>)
     3184    0.001    0.000    0.002    0.000 sre_parse.py:207(match)
       16    0.000    0.000    0.002    0.000 ticker.py:2493(__init__)
       19    0.000    0.000    0.002    0.000 patches.py:736(get_patch_transform)
        1    0.000    0.000    0.002    0.002 table.py:21(<module>)
       14    0.000    0.000    0.002    0.000 axis.py:452(_get_text2)
      287    0.000    0.000    0.002    0.000 __init__.py:2049(_to_unmasked_float_array)
       36    0.002    0.000    0.002    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       19    0.000    0.000    0.002    0.000 patches.py:707(_update_patch_transform)
       66    0.000    0.000    0.002    0.000 pyparsing.py:2124(__add__)
      148    0.001    0.000    0.002    0.000 artist.py:854(update)
       72    0.000    0.000    0.002    0.000 font_manager.py:1388(get_font)
      152    0.001    0.000    0.002    0.000 transforms.py:771(__init__)
       16    0.000    0.000    0.002    0.000 ticker.py:1803(__init__)
       14    0.000    0.000    0.002    0.000 axis.py:574(_get_text2)
        8    0.000    0.000    0.002    0.000 ticker.py:657(set_locs)
  449/224    0.001    0.000    0.002    0.000 transforms.py:142(_invalidate_internal)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:73(__init__)
      237    0.001    0.000    0.002    0.000 font_manager.py:1209(score_weight)
       32    0.000    0.000    0.002    0.000 ticker.py:1879(set_params)
  637/393    0.000    0.000    0.002    0.000 {hash}
        1    0.002    0.002    0.002    0.002 backend_agg.py:21(<module>)
     3191    0.002    0.000    0.002    0.000 {method 'split' of 'unicode' objects}
        1    0.002    0.002    0.002    0.002 triangulation.py:1(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
      259    0.001    0.000    0.002    0.000 functools.py:17(update_wrapper)
      684    0.001    0.000    0.002    0.000 transforms.py:1767(__init__)
    90/42    0.001    0.000    0.002    0.000 abc.py:148(__subclasscheck__)
        6    0.000    0.000    0.002    0.000 axis.py:231(set_clip_path)
    24/12    0.000    0.000    0.002    0.000 pyparsing.py:4232(parseImpl)
  295/291    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.002    0.000 getlimits.py:37(__init__)
       72    0.001    0.000    0.002    0.000 transforms.py:711(translated)
       15    0.000    0.000    0.002    0.000 core.py:2775(__new__)
       48    0.000    0.000    0.002    0.000 transforms.py:1554(transform_path_non_affine)
      237    0.001    0.000    0.002    0.000 font_manager.py:1191(score_stretch)
      140    0.000    0.000    0.002    0.000 fromnumeric.py:54(_wrapfunc)
        1    0.002    0.002    0.002    0.002 csv.py:4(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:628(open_file_cm)
       36    0.002    0.000    0.002    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.000    0.000    0.002    0.001 pyparsing.py:5662(srange)
      411    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
       84    0.001    0.000    0.002    0.000 path.py:164(_fast_from_codes_and_verts)
        1    0.001    0.001    0.002    0.002 geo.py:1(<module>)
        8    0.000    0.000    0.001    0.000 spines.py:311(draw)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1844(_pprint_styles)
       54    0.000    0.000    0.001    0.000 pyplot.py:2585(<lambda>)
        2    0.001    0.001    0.001    0.001 {method 'take' of 'numpy.ndarray' objects}
      645    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
       79    0.000    0.000    0.001    0.000 docstring.py:128(<lambda>)
        1    0.001    0.001    0.001    0.001 polynomial.py:57(<module>)
